image_id,attenunet_prnu_illum_dice,attenunet_prnu_freq_dice,attenunet_freq_illum_dice,attenunet_all_dice,diff_prnu_illum_dice,diff_prnu_freq_dice,diff_freq_illum_dice,notes
297,0.975153,0.979133,0.935208,0.981428,0.006275,0.002295,0.04622,
298,0.978439,0.979,0.970149,0.976522,-0.001917,-0.002478,0.006373,
299,0.966238,0.979263,0.96792,0.971505,0.005267,-0.007758,0.003585,
300,0.966347,0.971034,0.976285,0.964786,-0.001561,-0.006248,-0.011499,
301,0.983212,0.977642,0.978515,0.986685,0.003473,0.009043,0.00817,
302,0.970046,0.964058,0.977788,0.943135,-0.026911,-0.020923,-0.034653,
303,0.969976,0.970534,0.961887,0.969886,-0.00009,-0.000648,0.007999,
304,0.975019,0.988018,0.975103,0.982852,0.007833,-0.005166,0.007749,
305,0.984894,0.982152,0.973317,0.980309,-0.004585,-0.001843,0.006992,
306,0.980681,0.974077,0.974049,0.964525,-0.016156,-0.009552,-0.009524,
307,0.984841,0.992414,0.975791,0.986143,0.001302,-0.006271,0.010352,
308,0.982401,0.967864,0.975186,0.971537,-0.010864,0.003673,-0.003649,
309,0.969708,0.976351,0.958379,0.968635,-0.001073,-0.007716,0.010256,
310,0.965477,0.965762,0.935258,0.961935,-0.003542,-0.003827,0.026677,
311,0.967162,0.971026,0.977207,0.963831,-0.003331,-0.007195,-0.013376,
312,0.973922,0.969211,0.976182,0.977778,0.003856,0.008567,0.001596,
313,0.969258,0.969105,0.922282,0.978334,0.009076,0.009229,0.056052,
314,0.971878,0.980263,0.843292,0.964173,-0.007705,-0.01609,0.120881,
315,0.987284,0.9719,0.981587,0.982218,-0.005066,0.010318,0.000631,
316,0.975745,0.969177,0.965435,0.966477,-0.009268,-0.0027,0.001042,
317,0.973584,0.976768,0.936494,0.97664,0.003056,-0.000128,0.040146,
318,0.973887,0.980857,0.974402,0.973848,-0.000039,-0.007009,-0.000554,
319,0.976437,0.966839,0.979021,0.972829,-0.003608,0.00599,-0.006192,
320,0.975714,0.971958,0.963428,0.966655,-0.009059,-0.005303,0.003227,
321,0.975802,0.975368,0.932156,0.978022,0.00222,0.002654,0.045866,
322,0.921037,0.932493,0.952999,0.906985,-0.014052,-0.025508,-0.046014,
323,0.963969,0.978977,0.939196,0.948215,-0.015754,-0.030762,0.009019,
324,0.964803,0.972414,0.961538,0.962528,-0.002275,-0.009886,0.00099,
325,0.961698,0.95868,0.863538,0.977582,0.015884,0.018902,0.114044,
326,0.967045,0.981244,0.973786,0.973591,0.006546,-0.007653,-0.000195,
327,0.981523,0.977257,0.981268,0.981939,0.000416,0.004682,0.000671,
328,0.978804,0.989064,0.960888,0.974952,-0.003852,-0.014112,0.014064,
329,0.974001,0.975179,0.954787,0.973982,-0.000019,-0.001197,0.019195,
330,0.986634,0.981764,0.957805,0.976389,-0.010245,-0.005375,0.018584,
331,0.950038,0.964272,0.94886,0.952046,0.002008,-0.012226,0.003186,
332,0.973145,0.975451,0.963824,0.948201,-0.024944,-0.02725,-0.015623,
333,0.977171,0.969013,0.95846,0.974288,-0.002883,0.005275,0.015828,
334,0.94826,0.966598,0.979753,0.953741,0.005481,-0.012857,-0.026012,
335,0.973654,0.971845,0.969292,0.955214,-0.01844,-0.016631,-0.014078,
336,0.963281,0.975904,0.956522,0.975916,0.012635,0.000012,0.019394,
337,0.966345,0.967618,0.97088,0.966629,0.000284,-0.000989,-0.004251,
338,0.975287,0.960396,0.962943,0.965157,-0.01013,0.004761,0.002214,
339,0.974073,0.981996,0.963865,0.986145,0.012072,0.004149,0.02228,
