image_id,proposed_iou,proposed_dice,diff_id_iou,diff_id_dice,two_stream_iou,two_stream_dice,xceptionnet_iou,xceptionnet_dice,segformer_iou,segformer_dice
199,0.969729,0.984632,0.979348,0.989566,0.975242,0.987466,0.938754,0.96841,0.968127,0.983806
200,0.964663,0.982014,0.964082,0.981712,0.960928,0.980075,0.916121,0.956225,0.970192,0.98487
201,0.969983,0.984763,0.983165,0.991511,0.980148,0.989975,0.937564,0.967776,0.978107,0.988932
202,0.887427,0.940357,0.77707,0.874552,0.871019,0.931064,0.881529,0.937035,0.844586,0.915746
203,0.933307,0.965503,0,0,0,0,0.949583,0.97414,0,0
204,0.972014,0.985808,0.972014,0.985808,0.973478,0.986561,0.90735,0.951425,0.954237,0.976583
205,0.945923,0.97221,0.971667,0.98563,0.943955,0.97117,0.908903,0.952278,0.949541,0.974118
206,0.942899,0.97061,0.952626,0.975738,0.95941,0.979284,0.914039,0.955089,0.946064,0.972285
207,0.955433,0.977208,0.963672,0.9815,0.970569,0.985065,0.871795,0.931507,0.956323,0.977674
208,0.962396,0.980838,0.974606,0.98714,0.973363,0.986502,0.94011,0.969131,0.961442,0.980342
209,0.946844,0.972696,0.973675,0.986662,0.964072,0.981707,0.940728,0.969459,0.963098,0.981202
210,0.952237,0.975534,0,0,0,0,0.9375,0.967742,0,0
211,0.945244,0.971851,0,0,0,0,0.945235,0.971846,0,0
212,0.927254,0.962254,0.966792,0.983116,0.973292,0.986465,0.961777,0.980516,0.963205,0.981258
213,0.950406,0.974572,0.96875,0.984127,0.964072,0.981707,0.909617,0.95267,0.983225,0.991541
214,0.921098,0.958929,0.939092,0.968589,0.930727,0.964121,0.885724,0.939399,0.930225,0.963851
215,0.956352,0.977689,0.969741,0.984638,0.970714,0.98514,0.915315,0.955786,0.970535,0.985047
216,0.951066,0.974919,0.975284,0.987487,0.952684,0.975769,0.957637,0.97836,0.946443,0.972485
217,0.9477,0.973148,0.965669,0.982535,0.970426,0.984991,0.795652,0.886199,0.957924,0.97851
218,0.967201,0.983327,0.960853,0.980036,0.972183,0.985895,0.924561,0.960802,0.956832,0.97794
219,0.969111,0.984313,0.966073,0.982744,0.977853,0.988803,0.948925,0.973793,0.979466,0.989627
220,0.9375,0.967742,0.959153,0.979151,0.978858,0.989316,0.96336,0.981338,0.9769,0.988315
221,0.974325,0.986995,0.966341,0.982883,0.959637,0.979403,0.958742,0.978936,0.977319,0.988529
222,0.946298,0.972408,0.940435,0.969303,0.916181,0.956257,0.934919,0.966365,0.942758,0.970536
223,0.849234,0.918471,0.966202,0.98281,0.932124,0.96487,0.770202,0.870185,0.953463,0.976177
224,0.892262,0.943064,0.967282,0.983369,0.938346,0.968192,0.893617,0.94382,0.950506,0.974625
225,0.94974,0.974222,0.95472,0.976835,0.947077,0.972819,0.967184,0.983318,0.947332,0.972954
226,0.952195,0.975512,0.953153,0.976014,0.951641,0.975222,0.956194,0.977606,0.965196,0.98229
227,0.939796,0.968963,0.975791,0.987747,0.965134,0.982258,0.800303,0.889076,0.968006,0.983743
228,0.971634,0.985613,0.955283,0.97713,0.97554,0.987618,0.951672,0.975237,0.95524,0.977108
229,0.956989,0.978022,0.96971,0.984622,0.972245,0.985927,0.945319,0.971891,0.95915,0.979149
230,0.954311,0.976622,0.970984,0.985279,0.97488,0.98728,0.941339,0.969783,0.980034,0.989917
231,0.922958,0.959936,0.951194,0.974986,0.944122,0.971258,0.880711,0.936572,0.95281,0.975835
232,0.823289,0.903081,0.9527,0.975777,0.910278,0.953032,0.817684,0.899699,0.947034,0.972797
233,0.936451,0.967183,0.967769,0.983621,0.946537,0.972534,0.934075,0.965914,0.96668,0.983058
234,0.942847,0.970583,0.956345,0.977686,0.950891,0.974828,0.949256,0.973967,0.9676,0.983533
235,0.936147,0.967021,0.966423,0.982925,0.966021,0.982717,0.921128,0.958945,0.979343,0.989564
236,0.931914,0.964757,0.961026,0.980126,0.94637,0.972446,0.892157,0.943005,0.962021,0.980643
237,0.950605,0.974677,0.969156,0.984336,0.976532,0.988127,0.908579,0.9521,0.9713,0.985441
238,0.965291,0.982339,0.958107,0.978605,0.966201,0.98281,0.959177,0.979163,0.963082,0.981194
239,0.966168,0.982793,0.972613,0.986116,0.956321,0.977673,0.953741,0.976323,0.9794,0.989593
240,0.961034,0.98013,0.982219,0.99103,0.970236,0.984893,0.883054,0.937896,0.974231,0.986947
241,0.931205,0.964377,0.970754,0.98516,0.958515,0.978818,0.901146,0.948003,0.964714,0.98204
242,0.958894,0.979015,0.97317,0.986402,0.981818,0.990826,0.897002,0.945705,0.977185,0.988461
243,0.970643,0.985103,0.978731,0.989251,0.973537,0.986591,0.966171,0.982794,0.982772,0.991311
244,0.942868,0.970594,0.956127,0.977572,0.950432,0.974586,0.863119,0.926531,0.935841,0.966857
245,0.954845,0.976901,0.968485,0.98399,0.97547,0.987583,0.917148,0.956784,0.967891,0.983684
246,0.941075,0.969643,0.967337,0.983397,0.963107,0.981207,0.912908,0.954471,0.981818,0.990826
247,0.947104,0.972834,0,0,0,0,0.88475,0.938851,0,0
248,0.948548,0.973595,0.967299,0.983378,0.968212,0.983849,0.89936,0.947014,0.96377,0.981551
249,0.968315,0.983902,0.966562,0.982997,0.952495,0.97567,0.958695,0.978912,0.94277,0.970542
250,0.944444,0.971429,0.948296,0.973462,0.908735,0.952186,0.937691,0.967844,0.938136,0.968081
251,0.972727,0.986175,0.969941,0.984741,0.947581,0.973085,0.922064,0.959452,0.983624,0.991745
252,0.930916,0.964222,0.972249,0.985929,0.963165,0.981237,0.936123,0.967008,0.977287,0.988513
253,0.95904,0.979092,0.977265,0.988502,0.963432,0.981376,0.955579,0.977285,0.959957,0.979569
254,0.972332,0.985972,0.984035,0.991953,0.958719,0.978924,0.946559,0.972546,0.975662,0.987681
255,0.919263,0.957934,0.959474,0.979318,0.963251,0.981281,0.907033,0.951251,0.98176,0.990796
256,0.934506,0.966145,0.954045,0.976482,0.962494,0.980889,0.884205,0.938545,0.953488,0.97619
257,0.926355,0.96177,0.958934,0.979037,0.946759,0.972651,0.925125,0.961107,0.958346,0.97873
