image_id,proposed_iou,proposed_dice,proposed_bf_score,two_stream_iou,two_stream_dice,two_stream_bf_score,diff_iou,diff_dice,diff_bf_score
243,0.970643,0.985103,1,0.973537,0.986591,1,-0.002894,-0.001488,0
244,0.942868,0.970594,1,0.950432,0.974586,1,-0.007564,-0.003992,0
245,0.954845,0.976901,0.994565,0.97547,0.987583,1,-0.020625,-0.010682,-0.005435
246,0.941075,0.969643,1,0.963107,0.981207,1,-0.022032,-0.011564,0
247,0.947104,0.972834,1,0,0,0,0.947104,0.972834,1
248,0.948548,0.973595,1,0.968212,0.983849,1,-0.019664,-0.010254,0
249,0.968315,0.983902,1,0.952495,0.97567,1,0.01582,0.008232,0
250,0.944444,0.971429,0.9882,0.908735,0.952186,0.976256,0.035709,0.019243,0.011944
251,0.972727,0.986175,1,0.947581,0.973085,1,0.025146,0.01309,0
252,0.930916,0.964222,0.88326,0.963165,0.981237,1,-0.032249,-0.017015,-0.11674
253,0.95904,0.979092,1,0.963432,0.981376,1,-0.004392,-0.002284,0
254,0.972332,0.985972,1,0.958719,0.978924,1,0.013613,0.007048,0
255,0.919263,0.957934,0.846992,0.963251,0.981281,1,-0.043988,-0.023347,-0.153008
256,0.934506,0.966145,1,0.962494,0.980889,1,-0.027988,-0.014744,0
257,0.926355,0.96177,1,0.946759,0.972651,1,-0.020404,-0.010881,0
258,0.944444,0.971429,0.9882,0.95924,0.979196,1,-0.014796,-0.007767,-0.0118
259,0.975886,0.987796,1,0.959957,0.979569,1,0.015929,0.008227,0
260,0.939215,0.968655,1,0.966747,0.983093,1,-0.027532,-0.014438,0
261,0.94196,0.970113,1,0.979317,0.989551,1,-0.037357,-0.019438,0
262,0.935566,0.966711,0.884156,0.983551,0.991707,1,-0.047985,-0.024996,-0.115844
263,0.937393,0.967685,0.843905,0.948638,0.973642,0.966757,-0.011245,-0.005957,-0.122852
264,0.938478,0.968263,0.977077,0.975192,0.98744,1,-0.036714,-0.019177,-0.022923
265,0.900428,0.947605,0.855366,0.964996,0.982186,1,-0.064568,-0.034581,-0.144634
266,0.93889,0.968482,0.898964,0.938513,0.968281,0.989897,0.000377,0.000201,-0.090933
267,0.925642,0.961385,1,0.962889,0.981094,1,-0.037247,-0.019709,0
268,0.961507,0.980376,1,0.931892,0.964746,1,0.029615,0.01563,0
269,0.942521,0.97041,0.994318,0.958333,0.978723,1,-0.015812,-0.008313,-0.005682
270,0.971429,0.985507,1,0.962569,0.980927,1,0.00886,0.00458,0
271,0.923921,0.960456,0.994318,0.943469,0.970912,1,-0.019548,-0.010456,-0.005682
272,0.939858,0.968997,1,0.951299,0.975042,1,-0.011441,-0.006045,0
273,0.981168,0.990494,1,0.974263,0.986964,1,0.006905,0.00353,0
274,0.965324,0.982356,1,0,0,0,0.965324,0.982356,1
275,0.930935,0.964232,0.924904,0.973154,0.986395,1,-0.042219,-0.022163,-0.075096
276,0.971505,0.985547,1,0.971218,0.985399,1,0.000287,0.000148,0
277,0.920971,0.95886,0.874368,0.940421,0.969296,1,-0.01945,-0.010436,-0.125632
278,0.972989,0.986309,1,0.982619,0.991233,1,-0.00963,-0.004924,0
279,0.949167,0.973921,1,0.975363,0.987528,1,-0.026196,-0.013607,0
280,0.959846,0.979512,1,0.973693,0.986671,1,-0.013847,-0.007159,0
281,0.96576,0.982582,1,0.960923,0.980072,1,0.004837,0.00251,0
282,0.957367,0.978219,1,0.962737,0.981015,1,-0.00537,-0.002796,0
283,0.965949,0.982679,1,0.977895,0.988824,1,-0.011946,-0.006145,0
284,0.9681,0.983792,1,0.981091,0.990455,1,-0.012991,-0.006663,0
285,0.927795,0.962545,0.988764,0.954306,0.976619,1,-0.026511,-0.014074,-0.011236
286,0.966436,0.982932,1,0.953582,0.97624,1,0.012854,0.006692,0
287,0.932961,0.965318,0.980329,0.952451,0.975646,1,-0.01949,-0.010328,-0.019671
288,0.92751,0.962392,0.952858,0.972739,0.986181,1,-0.045229,-0.023789,-0.047142
289,0.961796,0.980526,0.967152,0.957775,0.978432,1,0.004021,0.002094,-0.032848
290,0.960199,0.979695,1,0.94936,0.974022,1,0.010839,0.005673,0
291,0.964124,0.981734,1,0.969127,0.984321,1,-0.005003,-0.002587,0
292,0.935272,0.966553,0.971831,0.964423,0.981889,1,-0.029151,-0.015336,-0.028169
293,0.981758,0.990795,1,0.979881,0.989838,1,0.001877,0.000957,0
294,0.929595,0.963513,1,0.956771,0.977908,1,-0.027176,-0.014395,0
295,0.93401,0.965879,1,0.976633,0.988178,1,-0.042623,-0.022299,0
296,0.942508,0.970403,0.99363,0.975045,0.987365,1,-0.032537,-0.016962,-0.00637
297,0.960563,0.979885,1,0.976456,0.988088,1,-0.015893,-0.008203,0
298,0.960926,0.980074,1,0.972364,0.985988,1,-0.011438,-0.005914,0
299,0.943939,0.971161,1,0.952273,0.975553,1,-0.008334,-0.004392,0
300,0.947704,0.97315,0.955801,0.965789,0.982597,1,-0.018085,-0.009447,-0.044199
301,0.975782,0.987743,1,0.967463,0.983463,1,0.008319,0.00428,0
302,0.886453,0.939809,0.923281,0.978369,0.989066,1,-0.091916,-0.049257,-0.076719
303,0.949658,0.974179,1,0.963597,0.981461,1,-0.013939,-0.007282,0
304,0.977672,0.98871,1,0.960385,0.979792,1,0.017287,0.008918,0
305,0.962759,0.981026,1,0.969847,0.984693,1,-0.007088,-0.003667,0
306,0.942029,0.970149,1,0.975667,0.987684,1,-0.033638,-0.017535,0
307,0.976291,0.988003,1,0.981064,0.990442,1,-0.004773,-0.002439,0
308,0.950609,0.974679,1,0.964532,0.981946,1,-0.013923,-0.007267,0
309,0.956966,0.97801,1,0.951016,0.974893,1,0.00595,0.003117,0
310,0.933207,0.96545,1,0.965046,0.982212,1,-0.031839,-0.016762,0
311,0.941271,0.969747,0.95144,0.964052,0.981697,1,-0.022781,-0.01195,-0.04856
312,0.954513,0.976727,1,0.97374,0.986695,1,-0.019227,-0.009968,0
313,0.956941,0.977997,1,0.958805,0.97897,1,-0.001864,-0.000973,0
314,0.955442,0.977213,1,0.977219,0.988478,1,-0.021777,-0.011265,0
315,0.975317,0.987504,1,0.977755,0.988752,1,-0.002438,-0.001248,0
316,0.946357,0.972439,1,0,0,0,0.946357,0.972439,1
317,0.972222,0.985915,1,0.95777,0.97843,1,0.014452,0.007485,0
318,0.964935,0.982155,1,0.971116,0.985346,1,-0.006181,-0.003191,0
319,0.945853,0.972173,1,0.955353,0.977167,1,-0.0095,-0.004994,0
320,0.94603,0.972266,0.986754,0.943848,0.971113,0.897815,0.002182,0.001153,0.088939
321,0.962729,0.98101,1,0.938915,0.968495,0.918368,0.023814,0.012515,0.081632
322,0.838816,0.912343,0.495526,0.855294,0.922004,0.613516,-0.016478,-0.009661,-0.11799
323,0.914661,0.955429,0.803192,0.973187,0.986411,1,-0.058526,-0.030982,-0.196808
324,0.936232,0.967066,1,0.909294,0.952493,0.769771,0.026938,0.014573,0.230229
325,0.942807,0.970562,0.995204,0.921412,0.959099,0.951075,0.021395,0.011463,0.044129
326,0.944444,0.971429,0.960542,0.948125,0.973372,0.989999,-0.003681,-0.001943,-0.029457
